"author","hometown"
"Abena Osei","Tanglebriar"
"Abigail Harris","Ebonridge"
"Aiko Hayashi","Flintlock"
"Aiko Takahashi","Alderfall"
"Akira Yamamoto","Ravencrest"
"Alaric Runeweaver","Quicksilver"
"Albert Bierstadton","Tanglebriar"
"Alex Johnson","Lakeshire"
"Alexander Clark","Wraithwood"
"Alexander Young","Highcliff"
"Amara Diallo","Tanglewood"
"Amelia King","Havenwood"
"Amina Juma","Zephyr"
"Amina Kone","Windshire"
"Anja Novak","Umbralwood"
"Anjali Patel","Xenith"
"Aria Thompson","Arborcross"
"Arjun Nair","Glacierpoint"
"Audrey Wells","Firefly"
"Ava Bennett","Yondervale"
"Ava Carter","Pinemarch"
"Ava Foster","Ravencrest"
"Ava Green","Moonlit"
"Ava Johnson","Flintlock"
"Ava Lewis","Emberlyn"
"Ava Mitchell","Arborcross"
"Ava Parker","Starhaven"
"Ava Roberts","Windshire"
"Ava Spencer","Crestfall"
"Ava Thompson","Quagmire"
"Ava Turner","Zephyr"
"Ava White","Ebonwood"
"Benjamin Harris","Mistral"
"Benny Rodgers","Northstar"
"Caravaggio Manneris","Glacierpoint"
"Charles Sheelerson","Frostfang"
"Charlotte Evans","Cypress"
"Clara Monroe","Ravenwood"
"Clara Williams","Wraithwood"
"Daniel Thompson","Ironwood"
"Danny Lewis","Glacierpoint"
"Devika Kapoor","Hollowpoint"
"Donatello Artis","Ironhold"
"Dr. Alan Carter","Mistral"
"Draven Blackthorn","Elderglen"
"Edward Hopper","Thornfield"
"Elandra Nightshade","Ivoryspire"
"Eldric Moonwhisper","Eldoria"
"Elena Petrova","Jaspervale"
"Elias Turner","Quicksilver"
"Elijah Brooks","Aethermoor"
"Ella Foster","Mithralis"
"Ella King","Dawnmist"
"Ella Mitchell","Ivoryspire"
"Emily Carter","Starhaven"
"Emily Clark","Moonrise"
"Emily Green","Hawthorn"
"Emily Hall","Stormwatch"
"Emily Harris","Crystalwater"
"Emily Johnson","Amberfield"
"Emily Parker","Zephyr"
"Emily Roberts","Cinderfall"
"Emily Robinson","Wildhaven"
"Emily Scott","Dreadmoor"
"Emily Turner","Narrowhaven"
"Emily White","Hawthorn"
"Emma Bennett","Driftwood"
"Emma Carter","Ridgewood"
"Emma Green","Arborcross"
"Emma Harper","Krellton"
"Emma Harris","Highcliff"
"Emma Lewis","Zorath"
"Emma Roberts","Hollowpoint"
"Emma Scott","Elderglen"
"Emma Sinclair","Mistvale"
"Emma Taylor","Hollowpoint"
"Emma Turner","Hollowpoint"
"Emma White","Stonegate"
"Ethan Adams","Xenon"
"Ethan Brown","Verdantfield"
"Ethan Clark","Faywood"
"Ethan Davis","Nexon"
"Ethan Green","Highcliff"
"Ethan Hall","Quillspire"
"Ethan Harris","Aethermoor"
"Ethan Johnson","Krellton"
"Ethan Lewis","Kettlewood"
"Ethan Parker","Uldar"
"Ethan Phillips","Yondervale"
"Ethan Thompson","Eldoria"
"Ethan Turner","Verdantfield"
"Ethan Walker","Limestone"
"Ethan White","Ironhold"
"Ethan Wilson","Cedarwood"
"Ethan Wright","Galadorn"
"Evelyn Harper","Quillspire"
"Gabriel Stone","Briarwood"
"Gabriel Winters","Tanglewood"
"Galadriel Starfire","Zephyr"
"Georgia O'Keeffson","Galadorn"
"Giorgio Vasarius","Havenmoor"
"Gloria Stewart","Zarathor"
"Grace Adams","Northstar"
"Grace Green","Kingsreach"
"Grace Hall","Nighthaven"
"Grace Harris","Stormwatch"
"Grace Hughes","Xanadu"
"Grace Johnson","Orinwood"
"Grace Lee","Havenmoor"
"Grace Lewis","Dunewood"
"Grace Miller","Frosthelm"
"Grace Morgan","Stonegate"
"Grace Parker","Ashenvale"
"Grace Scott","Windshire"
"Grace Thompson","Oakenwald"
"Grace Turner","Havenwood"
"Grace White","Ebonridge"
"Grace Williams","Vermillion"
"Grandma Moseson","Whisperwind"
"Grant Woodson","Xylora"
"Harper Blake","Jaspervale"
"Harriet Powers","Northstar"
"Haruki Nakamura","Ironhold"
"Helena Stone","Arborcross"
"Henry Scott","Arborcross"
"Hiroshi Sato","Windshire"
"Isaac Brooks","Briarwood"
"Isabella Clark","Umbralwood"
"Isabella Green","Everspring"
"Isabella Quinn","Crestfall"
"Isabella Rossi","Oakhurst"
"Isabella Vinci","Nexon"
"Ivy Turner","Ravencrest"
"Jack Adams","Uldar"
"Jack Bennett","Pinemarch"
"Jack Black","Yonderhill"
"Jack Davis","Ulthar"
"Jack Harris","Eldoria"
"Jack Johnson","Northstar"
"Jack Lewis","Hollowpoint"
"Jack Mitchell","Uldar"
"Jack Parker","Zenthia"
"Jack Scott","Arvandor"
"Jack Thompson","Yellowstone"
"Jack Walker","Starhaven"
"Jack White","Lunarrest"
"Jack Wright","Pyrestone"
"Jackson Pollockson","Ivorywood"
"Jacob Lee","Moonrise"
"Jake Adams","Pinemarch"
"Jake Harris","Timberfall"
"James Green","Jasperfall"
"James Lewis","Zorath"
"Jengo Kalu","Driftwood"
"Jengo Nkrumah","Mithralis"
"Johan van der Meer","Suncrest"
"Juma Kalu","Brightwater"
"Juma Nkrumah","Zorath"
"Kaito Tanaka","Quillspire"
"Katrin MÃ¼ller","Shadowfen"
"Kenji Sato","Zenthia"
"Kenji Watanabe","Galadorn"
"Kesi Diallo","Yonderhill"
"Kesi Juma","Goldenglen"
"Kofi Mensah","Xandria"
"Kwame Okoro","Vermillion"
"Kwame Osei","Quarrytown"
"Lakshmi Menon","Vanguard"
"Lara Stevens","Brimstone"
"Lars Andersen","Elderglen"
"Leo Anderson","Ravenwood"
"Leo Green","Oakheart"
"Leonardo DaVincius","Zarathor"
"Liam Bennett","Ivoryspire"
"Liam Carter","Larkspur"
"Liam Davis","Driftwood"
"Liam Green","Zephyr"
"Liam Hall","Tanglebriar"
"Liam Harper","Juniper"
"Liam Harris","Juniper"
"Liam Hughes","Redhawk"
"Liam Johnson","Galadorn"
"Liam Lewis","Crystalwater"
"Liam Peterson","Tanglebriar"
"Liam Roberts","Vermillion"
"Liam Scott","Vermillion"
"Liam Thompson","Cedarwood"
"Liam Turner","Tanglebriar"
"Liam White","Dawnmist"
"Lila Anderson","Ashenvale"
"Lily Anderson","Hollowpoint"
"Lily Morgan","Xylas"
"Lily Roberts","Xanadu"
"Lily Scott","Narrowhaven"
"Logan King","Cedarwood"
"Lucas Adams","Ebonridge"
"Lucas Bennett","Moonshadow"
"Lucas Brown","Umbrastone"
"Lucas Clark","Oakheart"
"Lucas Harris","Aethermoor"
"Lucas Hart","Umbralwood"
"Lucas Johnson","Yewgrove"
"Lucas Lewis","Pinemarch"
"Lucas Parker","Lakeshire"
"Lucas Phillips","Ironpeak"
"Lucas Roberts","Periwinkle"
"Lucas Ross","Kyrendor"
"Lucas Scott","Moonshadow"
"Lucas Thompson","Lunaris"
"Lucas Turner","Dawnmist"
"Lucas Walker","Havenwood"
"Lucia Conti","Caerwyn"
"Lysandra Silverleaf","Quagmire"
"Marco De Luca","Mistvale"
"Maria Martinezon","Wildwood"
"Marissa Gray","Quagmire"
"Mary Cassatton","Obsidian"
"Mason Bennett","Greystone"
"Mason Phillips","Firefly"
"Max Harper","Larkspur"
"Max Spencer","Brackenwood"
"Meera Rao","Hawthorn"
"Mia Bennett","Nettlewood"
"Mia Harris","Redhawk"
"Mia Howard","Orinwood"
"Mia Lewis","Zenith"
"Mia Morgan","Crystalwater"
"Mia Roberts","Vanguard"
"Mia Robinson","Ebonwood"
"Mia Scott","Arborcross"
"Mia Thompson","Jasperfall"
"Mia Walker","Cinderfall"
"Mia White","Galadorn"
"Michael Adams","Cedarwood"
"Michelangelo Buonartis","Verdantfield"
"Miki Suzuki","Yarrowdale"
"Miki Yamashita","Nexon"
"Miles Carter","Eldoria"
"Miles Parker","Pinehaven"
"Morgath the Malevolent","Nighthaven"
"Morwenna Ravenwood","Glimmerbrook"
"Natalie James","Vanguard"
"Nia Adebayo","Zephyrhollow"
"Nia Kone","Starhaven"
"Noah Adams","Wildwood"
"Noah Brown","Ulthar"
"Noah Davis","Pinebrook"
"Noah Green","Narrowhaven"
"Noah Hall","Quartzfield"
"Noah Harris","Glimmerwood"
"Noah Johnson","Tanglebriar"
"Noah Lewis","Juniper"
"Noah Reed","Northwatch"
"Noah Roberts","Suncrest"
"Noah Scott","Whispering Pines"
"Noah Turner","Quillspire"
"Noah Walker","Yellowstone"
"Noah White","Yewgrove"
"Olivia Bennett","Oasis"
"Olivia Brown","Wildhaven"
"Olivia Carter","Everspring"
"Olivia Collins","Moonshadow"
"Olivia Davis","Hawthorn"
"Olivia Green","Xylora"
"Olivia Hall","Nighthaven"
"Olivia Harris","Moonlit"
"Olivia Johnson","Ashenvale"
"Olivia Lewis","Brackenvale"
"Olivia Parker","Arvandor"
"Olivia Reynolds","Umbermoor"
"Olivia Roberts","Mithralis"
"Olivia Turner","Yewgrove"
"Olivia White","Havenwood"
"Priya Mehta","Nettlewood"
"Raj Kumar","Pinehaven"
"Raphael Sanzio","Cypress"
"Raphael Urbino","Elderglen"
"Ravi Sharma","Zephyr"
"Rohan Verma","Crestfall"
"Sakura Mori","Stormwatch"
"Samuel Pierce","Ivoryspire"
"Sandro Botticellis","Whisperwind"
"Sarah Hughes","Dreadmoor"
"Selene Nightshade","Kyrendor"
"Seraphina Moonfall","Starhaven"
"Sita Singh","Redhawk"
"Sofia Romano","Wraithwood"
"Sophia Adams","Quagmire"
"Sophia Clark","Umberhollow"
"Sophia Davis","Goldenglen"
"Sophia Green","Stormwatch"
"Sophia Harris","Havenmoor"
"Sophia Johnson","Xylora"
"Sophia King","Wildhaven"
"Sophia Lewis","Whispering Pines"
"Sophia Milton","Glimmerwood"
"Sophia Parker","Pinebrook"
"Sophia Phillips","Brimstone"
"Sophia Roberts","Limestone"
"Sophia Scott","Elderglen"
"Sophia Walker","Crestfall"
"Sophia White","Foxgrove"
"Thalia Starbinder","Quagmire"
"Thalindra Mistwalker","Timberfall"
"Thalor the Wise","Nexon"
"Thomas Bauer","Quagmire"
"Titian Vecellis","Violetford"
"Victor Reed","Ironpeak"
"Vivian Hart","Aethermoor"
"William Parker","Cinderfall"
"William Reed","Dreadmoor"
"Yoko Fujimoto","Violetford"
"Yumi Tanaka","Kettlewood"
"Zoe Phillips","Umbralwood"
"Zuri Diallo","Elderglen"
"Zuri Juma","Kettlewood"
